,date,pm25,pm10,o3,no2,so2,station,year,month,season,year_month
0,2025-11-01,65.0,22.0,40.0,9.0,2.0,Bjelave,2025,11,Fall,2025-11
1,2025-11-02,58.0,12.0,40.0,10.0,1.0,Bjelave,2025,11,Fall,2025-11
2,2025-11-03,32.0,21.0,24.0,10.0,5.0,Bjelave,2025,11,Fall,2025-11
3,2025-11-04,60.0,33.0,17.0,14.0,3.0,Bjelave,2025,11,Fall,2025-11
4,2025-11-05,79.0,47.0,14.0,17.0,4.0,Bjelave,2025,11,Fall,2025-11
5,2025-11-06,113.0,59.0,11.0,21.0,5.0,Bjelave,2025,11,Fall,2025-11
6,2025-11-07,136.0,48.0,7.0,16.0,27.0,Bjelave,2025,11,Fall,2025-11
7,2025-11-08,125.0,63.0,8.0,19.0,17.0,Bjelave,2025,11,Fall,2025-11
8,2025-11-09,151.0,39.0,29.0,15.0,12.0,Bjelave,2025,11,Fall,2025-11
9,2025-11-10,100.0,31.0,15.0,15.0,13.0,Bjelave,2025,11,Fall,2025-11
10,2025-11-11,84.0,27.0,18.0,11.0,4.0,Bjelave,2025,11,Fall,2025-11
11,2025-11-12,70.0,41.0,11.0,18.0,4.0,Bjelave,2025,11,Fall,2025-11
12,2025-11-13,100.0,40.0,14.0,17.0,4.0,Bjelave,2025,11,Fall,2025-11
13,2025-11-14,96.0,43.0,19.0,18.0,6.0,Bjelave,2025,11,Fall,2025-11
14,2025-11-15,103.0,36.0,40.0,13.0,6.0,Bjelave,2025,11,Fall,2025-11
15,2025-11-16,74.0,30.0,41.0,9.0,4.0,Bjelave,2025,11,Fall,2025-11
16,2025-11-17,54.0,18.0,27.0,16.0,5.0,Bjelave,2025,11,Fall,2025-11
17,2025-11-18,54.0,42.0,15.0,20.0,6.0,Bjelave,2025,11,Fall,2025-11
18,2025-11-19,110.0,21.0,31.0,9.0,10.0,Bjelave,2025,11,Fall,2025-11
19,2025-10-01,48.0,13.0,21.0,8.0,15.0,Bjelave,2025,10,Fall,2025-10
20,2025-10-02,47.0,11.0,24.0,10.0,14.0,Bjelave,2025,10,Fall,2025-10
21,2025-10-03,33.0,23.0,38.0,12.0,24.0,Bjelave,2025,10,Fall,2025-10
22,2025-10-04,62.0,14.0,34.0,7.0,23.0,Bjelave,2025,10,Fall,2025-10
23,2025-10-05,41.0,9.0,22.0,12.0,30.0,Bjelave,2025,10,Fall,2025-10
24,2025-10-06,31.0,11.0,18.0,13.0,26.0,Bjelave,2025,10,Fall,2025-10
25,2025-10-07,39.0,21.0,19.0,12.0,19.0,Bjelave,2025,10,Fall,2025-10
26,2025-10-08,56.0,28.0,25.0,11.0,25.0,Bjelave,2025,10,Fall,2025-10
27,2025-10-09,73.0,29.0,15.0,13.0,27.0,Bjelave,2025,10,Fall,2025-10
28,2025-10-10,77.0,28.0,18.0,14.0,34.0,Bjelave,2025,10,Fall,2025-10
29,2025-10-11,77.0,31.0,25.0,11.0,32.0,Bjelave,2025,10,Fall,2025-10
30,2025-10-12,81.0,37.0,12.0,12.0,31.0,Bjelave,2025,10,Fall,2025-10
31,2025-10-13,94.0,29.0,24.0,10.0,23.0,Bjelave,2025,10,Fall,2025-10
32,2025-10-14,76.0,26.0,25.0,8.0,27.0,Bjelave,2025,10,Fall,2025-10
33,2025-10-15,68.0,35.0,20.0,14.0,21.0,Bjelave,2025,10,Fall,2025-10
34,2025-10-16,81.0,55.0,10.0,20.0,51.0,Bjelave,2025,10,Fall,2025-10
35,2025-10-17,131.0,53.0,17.0,18.0,47.0,Bjelave,2025,10,Fall,2025-10
36,2025-10-18,139.0,24.0,32.0,7.0,21.0,Bjelave,2025,10,Fall,2025-10
37,2025-10-19,66.0,37.0,18.0,16.0,18.0,Bjelave,2025,10,Fall,2025-10
38,2025-10-20,88.0,19.0,47.0,10.0,10.0,Bjelave,2025,10,Fall,2025-10
39,2025-10-21,50.0,29.0,30.0,17.0,3.0,Bjelave,2025,10,Fall,2025-10
40,2025-10-22,69.0,12.0,39.0,8.0,2.0,Bjelave,2025,10,Fall,2025-10
41,2025-10-23,35.0,10.0,35.0,12.0,8.0,Bjelave,2025,10,Fall,2025-10
42,2025-10-24,22.0,11.0,42.0,7.0,2.0,Bjelave,2025,10,Fall,2025-10
43,2025-10-25,27.0,16.0,33.0,15.0,3.0,Bjelave,2025,10,Fall,2025-10
